level_0,artistName,trackName,count,endTime
135,Dmitri Shostakovich,"24 Preludes, Op. 34: No. 9 in E Major. Presto",9,2025-06-03 18:51:00
135,Dmitri Shostakovich,"24 Preludes, Op. 34: No. 15 in D-Flat Major. Allegretto",8,
135,Dmitri Shostakovich,"24 Preludes, Op. 34: No. 6 in B Minor. Allegretto",7,
135,Dmitri Shostakovich,"24 Preludes, Op. 34: No. 24 in D Minor. Allegretto",6,
135,Dmitri Shostakovich,"24 Preludes, Op. 34: No. 10 in C-Sharp Minor. Moderato non troppo",4,
136,Dmitri Shostakovich,"24 Preludes, Op. 34: No. 24 in D Minor. Allegretto",8,2025-06-04 19:29:00
136,Dmitri Shostakovich,"24 Preludes, Op. 34: No. 9 in E Major. Presto",7,
136,Dmitri Shostakovich,"24 Preludes, Op. 34: No. 10 in C-Sharp Minor. Moderato non troppo",6,
136,Dmitri Shostakovich,"24 Preludes, Op. 34: No. 15 in D-Flat Major. Allegretto",6,
136,Dmitri Shostakovich,"24 Preludes, Op. 34: No. 17 in A-Flat Major. Largo",6,
