artistName,albumName,trackName,uri
Primex,LOYALTY,LOYALTY,spotify:track:1ULrsSAT3vAWFHuNWRv0C6
Asake,Mr. Money With The Vibe,Ototo,spotify:track:0CUJV0Hh512Ns7U2yGflqt
Chop Daily,Yanna,Yanna,spotify:track:0b7YcZJ186TaQZzxrxIO1e
Sarz,Happiness (feat. Asake & Gunna),Happiness (feat. Asake & Gunna),spotify:track:6rOqLUy3kp0PVQQEtNPpbQ
Duumu,Forward,Forward,spotify:track:2ay5cmmedtoJn2i8zf6ezi
X-Man,Pineco,Pineco,spotify:track:4qDJJtpkWQae89a2P7qb90
REAPER,DISRUPTOR LP,IMY (feat. Bella Renee),spotify:track:6oosMYrpIekDxg67SV60Va
Highlnd,If You Want To Stay,If You Want To Stay,spotify:track:2vrMnoLTYC6RZ9x0tbWQxu
Dillon Francis,Say Less,Say Less,spotify:track:7l0u38sWDqqk6TySNOZtO3
Conro,Rocket League x Monstercat Vol. 1,All Me,spotify:track:4Vk4PphmHn9NPgUCTEaTEB
Netrum,Circle,Circle,spotify:track:37QbBWAlIYTmm1v23MNLGW
Kizz Daniel,Barnabas,Oshe (feat. The Cavemen.),spotify:track:4upQnh3K5k1xbVOr97fdG7
Olivia Rodrigo,GUTS,vampire,spotify:track:1kuGVB7EU95pJObxwvfwKS
KiDi,The Golden Boy,Mon Bebe,spotify:track:2QQk94CGXfsO5J6k6im7Jw
Maazel,This Feeling,This Feeling,spotify:track:5GYAFTDMmo8nqk2U81bpl8
Kungs,Layers,This Girl (Kungs Vs. Cookin' On 3 Burners),spotify:track:1A8j067qyiNwQnZT0bzUpZ
GIMS,LE NORD SE SOUVIENT,SOIS PAS TIMIDE,spotify:track:0yyFAbTlOk7DFhh6RSug9S
melvitto,THENIGHTISYOUNG.,Close To Me (feat. Krisirie & Gabzy),spotify:track:09fmq39KKgF91L8VF3iY4N
Ryan Mack,Only Human,Only Human,spotify:track:0yF7Rh8ISTa2PiyC12pvWJ
Young Jonn,Jiggy Forever,Aquafina,spotify:track:0UJMgRVNBrnMmAeZ8p1iMc
Lauren Spencer Smith,Mirror,Flowers,spotify:track:2eykhwXDu6k3DqvY0LBInw
Gunna,One of Wun,on one tonight,spotify:track:6EUcP55GlbmsmCzfL2vxtZ
SABAI,Million Days,Million Days,spotify:track:0DzPnTBSmVRKBQAmH3EomR
RandJess,À quoi elles rêvent ?,À quoi elles rêvent ?,spotify:track:3we9INjx4I9dXus7PYzM6B
Larza,Mirrored Portals,Mirrored Portals,spotify:track:0XBMI6SkdA1qBp1peTjLMG
Nathan Dawe,21 Reasons (feat. Ella Henderson),21 Reasons (feat. Ella Henderson),spotify:track:1RF02Cf80mTaeNXG2P2boR
Pixel Terror,Dilemma,Dilemma,spotify:track:6Eur1R7008b0AWi47iHxHj
Kid AlpHa,Colours,Colours,spotify:track:6IyR5rzYfQYZdPlwMUk7GF
Midranger,Waves,Waves,spotify:track:3db0lKgmdVTa7MUIvl7zWQ
JVKE,this is what falling in love feels like (554Hz),golden hour,spotify:track:4yNk9iz9WVJikRFle3XEvn
ellis,Recollection Prospective,Caught in the Rays (Intro),spotify:track:5Lyrx6V6BMifk5FsR5JCpp
Half an Orange,Mostly We Grow Trilogy,Left Behind,spotify:track:2UyNY6BvZ9V6Kn10a7W6jH
Duumu,Keep You,Keep You,spotify:track:0yxqE17S8mauxiv10mMVS0
Glacier,Nurture,Nurture,spotify:track:1hHcgvPKr01053NqkrFt5H
OVSKY,Start Again,Start Again,spotify:track:6wLujYsftQ9tGIvf54lrkz
