endTime,artistName,trackName,count
2024-12-15,Ruger,Asiwaju,11
2024-12-15,WRLD,Style,11
2024-12-15,Half an Orange,Buzz Lightyear - WRLD Remix,10
2024-12-15,Sam Bruno,Hello Hater - WRLD Remix,10
2024-12-15,WRLD,Wishful Thinking - 2018,10
2024-12-22,ellis,Falling Through,20
2024-12-22,Insan3lik3,You Make Me Go - Original Mix,10
2024-12-22,Ruger,Toma Toma,8
2024-12-22,Anevo,Feel Something,6
2024-12-22,Half an Orange,Buzz Lightyear - WRLD Remix,6
2024-12-29,Stromae,Formidable,14
2024-12-29,Stromae,Tous les mêmes,12
2024-12-29,Stromae,L’enfer,9
2024-12-29,Grant,Without You,8
2024-12-29,soupandreas,Tumbling Down,7
2025-01-05,Grant,Without You,14
2025-01-05,Conro,Kick It,13
2025-01-05,soupandreas,Tumbling Down,8
2025-01-05,Anevo,Feel Something,6
2025-01-05,Zedd,Tangerine Rays (feat. Bea Miller),6
2025-01-12,Conro,Kick It,9
2025-01-12,Haywyre,Contagious,8
2025-01-12,Haywyre,Wisdom,7
2025-01-12,Sam Bruno,Hello Hater - WRLD Remix,6
2025-01-12,soupandreas,Tumbling Down,6
2025-01-19,Tails,Skeleton (feat. Nevve),6
2025-01-19,soupandreas,Tumbling Down,6
2025-01-19,Conro,Kick It,5
2025-01-19,Fonzi M,"Gurenge (From ""Demon Slayer: Kimetsu no Yaiba"") [Full Version] - Piano Arrangement",4
2025-01-19,Grant,Without You,4
2025-01-26,NF,The Search,7
2025-01-26,Seven Lions,Remember,6
2025-01-26,Lil Nas X,MONTERO (Call Me By Your Name),5
2025-01-26,Radiohead,Creep,5
2025-01-26,Rogue,Oceans,4
2025-02-02,Rogue,Mirage,12
2025-02-02,Rogue,Starlight,8
2025-02-02,Johann Sebastian Bach,"Das wohltemperierte Klavier, Buch II: Präludium I C-Dur, BWV 870",7
2025-02-02,Haywyre,Let Me Hear That,6
2025-02-02,Johann Sebastian Bach,"Das wohltemperierte Klavier, Buch II: Fuge I C-Dur, BWV 870",5
2025-02-09,Johann Sebastian Bach,"Das wohltemperierte Klavier, Buch II: Fuge III Cis-Dur, BWV 872",6
2025-02-09,Haywyre,I Am You,5
2025-02-09,Johann Sebastian Bach,"Das wohltemperierte Klavier, Buch II: Präludium III Cis-Dur, BWV 872",5
2025-02-09,WRLD,Little Too Close,5
2025-02-09,Johann Sebastian Bach,"Das wohltemperierte Klavier, Buch II: Fuge VI D-Moll, BWV 875",4
2025-02-16,Haywyre,I Am You,5
2025-02-16,Fairlane,Hypnotize,4
2025-02-16,JVKE,her,4
2025-02-16,SABAI,Trust Issues,4
2025-02-16,JVKE,lavender (feat. Pink Sweat$),3
2025-02-23,Rogue,Starlight,7
2025-02-23,Grant,Without You,4
2025-02-23,Half an Orange,Mark Twain - Glacier Remix,4
2025-02-23,Haywyre,Let Me Hear That,4
2025-02-23,Haywyre,Tell Me - Ellis Remix,4
2025-03-02,DEXTER KING,Get to Know You,6
2025-03-02,DEXTER KING,Only You,6
2025-03-02,JJD,Somebody Like Me,6
