artistName,trackName,msPlayed
Grant,Color,53.41748333333334
The Weeknd,Timeless (feat Playboi Carti),53.36755
Ray,Intertwined,53.34685
CKay,emiliana,53.29546666666667
Athena,Eternal,53.09213333333334
Stephan Moccio,Lavender Fields,52.88133333333333
Stromae,humain à l'eau,52.538716666666666
Lost Sky,Carry On,52.50103333333333
Flux Vortex,Still Feels Right,52.384116666666664
Tokyo Machine,Silver Lining,51.77385
Fairlane,Someone Just Like You,51.55713333333333
Benson Boone,Slow It Down,51.313633333333335
smle,Can't Sleep Alone,51.12265
Joya Marleen,Driver,51.031416666666665
Disero,About Us,50.98161666666667
Rogue,Emeralds,50.83995
Aeden,Would You Be Waiting,50.39443333333333
Hallmore,It's Her,50.246383333333334
Conro,I Wanna Know,49.930083333333336
Aya Nakamura,42,49.85106666666667
Tape Machines,Sweat on Me (Trice Remix),49.7785
melvitto,Stay (feat. Gabzy),49.454883333333335
Jay Cosmic,Ocean Eyes,49.26326666666667
Travis Scott,FE!N (feat. Playboi Carti),48.860033333333334
Aeden,Holding On,48.645133333333334
Daxten,Summer Night,48.43885
Axollo,Versailles,48.42861666666667
DEXTER KING,Get to Know You,48.414966666666665
Killrude,Never Gonna Fail,48.35263333333333
Jack Shore,Dreaming of Me (feat. Jaime Deraz),48.194266666666664
Velveteen,I'm All Yours,48.17348333333333
ellis,Keep Me Awake,47.89823333333333
Solee,March of the giants,47.73781666666667
Zerb,Location,47.6469
Throttle,Bloom,47.48008333333333
Netrum,Circle,47.4045
JVKE,her,47.37753333333333
JVKE,golden hour,47.315133333333335
Swif7,Nobody Else,47.25585
Olamide,Infinity (feat. Omah Lay),47.220083333333335
Conro,Like You Love Me,47.061083333333336
Grant,Are We Still Young,45.898633333333336
Omah Lay,soso,45.57555
Swif7,Never Know,45.514
Haywyre,With Or Without,45.50971666666667
Netrum,Backstreet Boy,45.35678333333333
Duumu,Wash Away,45.35256666666667
Conro,just wanna luv,45.22808333333333
ellis,Speak Français,45.13433333333333
Syn Cole,Time,45.10545
Kizz Daniel,Cough (Odo),44.8953
Jack Shore,No More,44.61103333333333
Deanz,Still a Little High,44.4267
Vindata,Good 4 Me,43.874516666666665
Haywyre,I Am You,43.578133333333334
Zack Merci,Love Potion,43.43333333333333
Tom Wilson,In Your Eyes,43.19866666666667
Babyboy AV,Confession,43.14745
Lost Sky,Fearless Pt. II,42.8198
Yesable,Time for a New Day,42.72561666666667
ellis,Like,42.6774
inverness,Lost My Mind,42.649233333333335
Grant,Move On,42.526983333333334
Blanke,Heavy Heart,42.27321666666667
Maazel,Crashing Down,42.18595
Velee,Painting,41.94721666666667
Kizz Daniel,Buga (Lo Lo Lo),41.803016666666664
GIMS,Sapés comme jamais (feat. Niska) - Pilule bleue,41.75695
Conro,Therapy,41.633116666666666
Tyla,Water,41.579033333333335
JJD,Can't Say No,41.4732
Tate McRae,exes,40.976616666666665
Scythermane,NUNCA MUDA? - Super Slowed,40.89436666666667
JVKE,clouds,40.88433333333333
Rogue,Empires,40.817
Trivecta,Tornado,40.60393333333333
NF,The Search,40.58155
Deanz,Let U Go,40.547066666666666
MitiS,Symptoms (feat. Luma),40.48735
NIGHTCAP,Your Hands on Me,40.35345
Arlow,Feel So Lucky,40.26615
Midas the Jagaban,Party With A Jagaban,40.25921666666667
Pixel Terror,Move 4 Me,40.206833333333336
CKay,love nwantiti (ah ah ah),40.13075
smle,Found A Reason,40.0698
Fireboy DML,Sofri,39.99725
Conro,All Me,39.936
JKuch,Data Loss,39.6869
Facading,Don't Need You,39.48373333333333
Lil Nas X,MONTERO (Call Me By Your Name),39.43793333333333
Trivecta,Ghost in the Machine,39.34603333333333
NIGHTCAP,Where Do You Hide (Nobody Knows),39.1557
Melly Mike,Young Black & Rich,39.13885
Tails,Skeleton (feat. Nevve),39.11055
PLEEG,Alive,38.91226666666667
Snareskin,Smoke,38.785516666666666
Savoi,Hideaway,38.62318333333333
Fairlane,Replay,38.61431666666667
Tayc,N'y pense plus,38.565
Mindme,On Our MInds,38.41308333333333
Omah Lay,understand,38.24778333333333
Ogryzek,AURA,37.971716666666666
Trivecta,Riptide,37.759
Fireboy DML,Vibration,37.67341666666667
jung jaeil,O X I,37.46823333333333
Ella Henderson,Dream On Me - Roger Sanchez Remix,37.41558333333333
Sayfalse,COM MEDO!,37.16943333333333
inverness,I Remember,37.05146666666667
Conro,Thrill of It,37.0431
Benson Boone,Beautiful Things,36.948966666666664
Ella Faye,Two Different Minds,36.937466666666666
Yesable,If You Really Believe,36.89235
L.A.X,Sempe,36.6893
Basixx,We Came to Party,36.5803
PLEEG,Home,36.13925
Martin Garrix,MAD,35.744883333333334
Fairlane,Puzzle,35.7266
ellis,Unfold,35.60756666666666
Radiohead,Creep,35.124516666666665
Mindme,Like That,34.89468333333333
Cartoon,Omen,34.842016666666666
The Night,Set Me Free,34.72195
The Chainsmokers,Something Just Like This,34.690983333333335
Bad Computer,Chasing Clouds,34.67765
Rotimi,Love Somebody,34.36828333333333
Nicky Youre,Sunroof,34.19518333333333
Ayra Starr,Rush,34.173633333333335
Jaslyn Edgar,It's All About Us,34.04096666666667
Koven,Looking For More,34.022866666666665
Swif7,Somewhere on the Highway,33.97561666666667
Alder,A Better You,33.928
Jex,Where We Started,33.899166666666666
Alder,Will You Let Me Down,33.8643
Basixx,If You're Looking for Trouble,33.772
ellis,The Taste,33.769666666666666
David Guetta,2U (feat. Justin Bieber),33.7488
Asketa & Natan Chaim,No Crime,33.68171666666667
Grant,Won't Give Up,33.66085
Kizz Daniel,Lie,33.54611666666667
Half an Orange,Mark Twain,33.392466666666664
Stephen Walking,Glide,33.36665
Tom Wilson,Follow,33.086483333333334
WRLD,Rooms,32.91758333333333
Scythermane,NUNCA MUDA?,32.859566666666666
Haywyre,Do You Don't You,32.74093333333333
Koven,Gold - Blooom Remix,32.707633333333334
Hallmore,Saharas (Extended Version),32.666916666666665
Crazy Frog,Popcorn,32.660583333333335
